date,hour,lat_bin,lon_bin,avg_speed,trip_count
2025-03-01,0,3,10,47.83492590289599,1
2025-03-01,0,6,15,69.26473164530337,1
2025-03-01,0,8,10,205.30352448382465,1
2025-03-01,0,8,17,38.13317699603338,1
2025-03-01,0,9,1,26.61943344623825,1
2025-03-01,0,9,3,238.09997610508705,1
2025-03-01,0,9,9,90.8002104148729,1
2025-03-01,0,11,16,22.645378031657245,1
2025-03-01,0,11,18,36.80177991902775,1
2025-03-01,0,11,29,80.34428810840704,1
2025-03-01,0,16,26,28.183548948009047,1
2025-03-01,0,17,20,11.457604061694685,1
2025-03-01,0,18,3,4.7027280232298745,1
2025-03-01,0,20,30,52.22596845383829,1
2025-03-01,0,20,31,53.123620904775535,1
2025-03-01,0,21,19,14.279189890396628,1
2025-03-01,0,26,15,33.372198280109906,1
2025-03-01,0,26,24,99.76046837565907,1
2025-03-01,0,28,31,17.937155919866285,1
2025-03-01,0,30,25,2.374633494496508,1
2025-03-01,0,31,34,26.11874832365598,1
2025-03-01,0,32,27,30.04665387863594,1
2025-03-01,1,1,17,7.749363556153644,1
2025-03-01,1,1,31,26.27120330128567,1
2025-03-01,1,6,3,49.90199469946724,1
2025-03-01,1,6,12,33.76393490133303,1
2025-03-01,1,6,32,25.110541282540314,1
2025-03-01,1,10,32,217.05799606064508,1
2025-03-01,1,13,9,23.047845754118384,1
2025-03-01,1,13,32,11.37056054389861,1
2025-03-01,1,15,8,111.19013900104174,1
2025-03-01,1,18,15,29.08676006283346,1
2025-03-01,1,18,31,2.802272558623577,1
2025-03-01,1,20,1,27.87706038375534,1
2025-03-01,1,21,17,17.01464265440487,1
2025-03-01,1,27,1,7.583093006743894,1
2025-03-01,1,34,31,33.54194049289219,1
2025-03-01,2,1,12,51.40129386749359,1
2025-03-01,2,2,31,31.7392518410828,1
2025-03-01,2,4,5,8.553005258363894,1
2025-03-01,2,7,16,38.36525393342899,1
2025-03-01,2,8,23,70.78378973150528,1
2025-03-01,2,10,20,19.985238639840095,1
2025-03-01,2,11,5,35.18452736852658,1
2025-03-01,2,14,12,26.20870021843528,1
2025-03-01,2,14,29,46.51295844472246,1
2025-03-01,2,15,17,23.378088944714268,1
2025-03-01,2,18,5,19.234210706193657,1
2025-03-01,2,19,27,122.39083385365603,1
2025-03-01,2,21,19,80.90671641786535,1
2025-03-01,2,22,19,52.447157260971984,1
2025-03-01,2,23,10,40.05371927024886,1
2025-03-01,2,24,2,14.846103960386426,1
2025-03-01,2,27,6,21.77970073075317,1
2025-03-01,2,28,25,22.314216050882496,1
2025-03-01,2,29,7,41.13327587953694,1
2025-03-01,2,30,8,9.333908258513896,1
