date,avg_speed,total_trips,avg_distance,is_weekend
2025-03-01,37.25353868204653,495,7.415685815483012,1
2025-03-02,38.02164508555936,496,7.816961698634949,1
2025-03-03,38.91490641707239,499,8.078363880118289,0
2025-03-04,36.41422266141112,497,7.526441178427091,0
2025-03-05,35.59412190052885,494,7.6336107733685745,0
2025-03-06,40.56068200652222,496,7.943563738515288,0
2025-03-07,36.55885040392925,497,7.604408609282233,0
2025-03-08,38.15597731651995,496,7.730421248091049,1
2025-03-09,36.8404046624039,497,7.745831727325131,1
2025-03-10,39.40808032430607,495,7.9868686998855525,0
2025-03-11,36.54361071806196,495,7.531283946187708,0
2025-03-12,37.475991176363834,497,7.5405248018826185,0
2025-03-13,37.84347335431412,493,7.892037907546211,0
2025-03-14,39.8821556731249,498,7.698349111186743,0
2025-03-15,39.12757872041217,498,7.874277667865345,1
2025-03-16,36.88338067721308,493,7.702390931522979,1
2025-03-17,36.372930124393385,497,7.618962427036611,0
2025-03-18,35.98034309011921,498,7.609995649202918,0
2025-03-19,37.14907926487862,499,7.524292486787787,0
2025-03-20,38.953909967320065,494,8.126151874007421,0
2025-03-21,37.247072360241965,497,7.708477320619911,0
2025-03-22,37.23492280696347,496,7.579184849059269,1
2025-03-23,36.478978943277056,497,7.70439242880546,1
2025-03-24,36.16789493008937,494,7.7126121945514114,0
2025-03-25,38.67364465834651,499,7.442211511321992,0
2025-03-26,36.48737104219221,495,7.280424404009891,0
2025-03-27,38.57186445144969,499,8.185417488041825,0
2025-03-28,39.351269550820625,494,8.035004545755827,0
2025-03-29,38.526190681880934,496,7.6784187458580835,1
2025-03-30,37.42157396594293,498,7.8331382968277605,1
2025-03-31,38.80427938388696,494,7.737925172837971,0
2025-04-01,37.00928924598931,493,7.767029176328195,0
2025-04-02,37.675088171298064,494,7.576037311882097,0
2025-04-03,37.17727001469395,493,7.355618303658799,0
2025-04-04,37.40982841435779,495,7.747821638257075,0
2025-04-05,39.58481738089155,500,7.816288001681893,1
2025-04-06,40.12293076578331,490,7.855645480546089,1
2025-04-07,36.88903914480336,495,7.219510437192658,0
2025-04-08,36.342230200528,493,7.944734291730485,0
2025-04-09,39.10244364995664,497,7.774250137844719,0
2025-04-10,39.04343503378735,497,7.761110236834876,0
2025-04-11,36.31490954394825,494,7.645402281826217,0
2025-04-12,37.847090363128125,495,7.692916962230014,1
2025-04-13,37.28050689043648,496,7.781733086138124,1
2025-04-14,35.38013221110575,500,7.452754633911548,0
2025-04-15,38.83578894167273,493,7.97638646059758,0
2025-04-16,38.03619299329956,496,7.592026617612272,0
2025-04-17,36.65480778667822,491,7.782118121595021,0
2025-04-18,37.195191850353325,495,7.68728878135827,0
2025-04-19,38.020902520374065,496,7.62490526247126,1
2025-04-20,36.36009671997442,495,7.52196292813218,1
2025-04-21,40.141306426762604,491,7.740336937308357,0
2025-04-22,37.50027420739782,494,7.746981059787587,0
2025-04-23,40.38498877394586,495,7.830754271436152,0
2025-04-24,39.58653910081799,496,8.020242627621952,0
